,Car_Model,Configuration,Type,Discounted_Price,Location
0,2016 Volkswagen Polo,"96,698 KM
2ND OWNER
PETROL
KA-09",GT TSI ATAutomatic,"₹7,08,000
₹7,38,000",Sonnappanahalli
1,2015 Maruti Swift,"60,352 KM
2ND OWNER
PETROL
KA-41",LXIManual,"₹4,29,000
₹4,76,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
2,2010 Maruti Swift,"1,34,850 KM
2ND OWNER
PETROL
KA-51",VXIManual,"₹3,14,000
₹3,40,000","Horamavu Agara Road, Bengaluru"
3,2020 Hyundai Elite i20,"49,087 KM
1ST OWNER
PETROL
KA-50",SPORTZ PLUS 1.2Manual,"₹7,10,000
₹7,76,000","Horamavu Agara Road, Bengaluru"
4,2017 Maruti Celerio,"57,986 KM
2ND OWNER
PETROL
KA-06",VXI (O)Manual,"₹4,06,000
₹4,41,000","Bellahalli, Bengaluru"
5,2015 Hyundai Elite i20,"1,23,976 KM
1ST OWNER
DIESEL
KA-41",ASTA 1.4 CRDIManual,"₹5,73,000
₹6,01,000","Horamavu Agara Road, Bengaluru"
6,2013 Volkswagen Polo,"1,09,232 KM
2ND OWNER
DIESEL
KA-51",GT TDIManual,"₹4,79,000
₹4,91,000","Horamavu Agara Road, Bengaluru"
7,2013 Hyundai i10,"67,048 KM
3RD OWNER
PETROL
KA-05",SPORTZ 1.2 ATAutomatic,"₹3,44,000
₹3,61,000","Hosur Road, Singasandra, Bengaluru"
8,2021 Tata Tiago,"14,992 KM
1ST OWNER
PETROL
KA-09",XT PETROLManual,"₹6,32,000","Bellahalli, Bengaluru"
9,2013 Hyundai i20,"31,502 KM
1ST OWNER
PETROL
KA-05",ASTA 1.2Manual,"₹4,93,000
₹5,39,000","Hosur Road, Singasandra, Bengaluru"
10,2017 Maruti IGNIS,"65,909 KM
1ST OWNER
PETROL
KA-50",ZETA 1.2 AMTAutomatic,"₹5,90,000
₹6,46,000","Bellahalli, Bengaluru"
11,2019 Hyundai NEW SANTRO,"25,997 KM
2ND OWNER
PETROL
KA-05",SPORTZ AMTAutomatic,"₹5,57,000
₹5,90,000","GT World Mall, Bengaluru"
12,2012 Hyundai Eon,"63,020 KM
2ND OWNER
PETROL
KA-01",ERA +Manual,"₹2,18,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
13,2020 Maruti Alto,"26,085 KM
2ND OWNER
PETROL
KA-04",VXIManual,"₹4,11,000
₹4,50,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
14,2013 Hyundai i20,"90,106 KM
2ND OWNER
DIESEL
KA-01",MAGNA (O) 1.4 CRDIManual,"₹3,85,000
₹4,23,000","Bellahalli, Bengaluru"
15,2021 Maruti New Wagon-R,"27,658 KM
1ST OWNER
PETROL
KA-09",ZXI 1.2Manual,"₹6,19,000
₹6,61,000",Sonnappanahalli
16,2013 Maruti Ritz,"54,782 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹3,78,000
₹4,30,000","GT World Mall, Bengaluru"
17,2020 Maruti S PRESSO,"57,644 KM
2ND OWNER
PETROL
KA-20",VXIManual,"₹3,87,000
₹4,25,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
18,2016 Hyundai Grand i10,"67,771 KM
2ND OWNER
PETROL
KA-05",ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"₹5,25,000
₹5,72,000","Bellahalli, Bengaluru"
19,2020 Renault Kwid,"46,218 KM
2ND OWNER
PETROL
KA-50",CLIMBER 1.0 AMT (O)Automatic,"₹4,98,000
₹5,21,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
20,2015 Hyundai i20 Active,"51,659 KM
2ND OWNER
DIESEL
KA-01",1.4 SXManual,"₹6,65,000
₹6,87,000","Bellahalli, Bengaluru"
21,2010 Maruti Wagon R 1.0,"80,330 KM
2ND OWNER
PETROL
UP-16",LXIManual,"₹2,22,000
₹2,48,000","Horamavu Agara Road, Bengaluru"
22,2016 Maruti Alto K10,"14,039 KM
1ST OWNER
PETROL
KA-01",VXI (O) AMTAutomatic,"₹4,36,000","Horamavu Agara Road, Bengaluru"
23,2017 Hyundai Elite i20,"60,228 KM
1ST OWNER
DIESEL
KA-03",ASTA 1.4 CRDI (O)Manual,"₹7,24,000
₹7,73,000","Hosur Road, Singasandra, Bengaluru"
24,2016 Maruti Celerio,"71,295 KM
1ST OWNER
PETROL
KA-03",VXI (O)Manual,"₹4,36,600
₹4,56,000","Horamavu Agara Road, Bengaluru"
25,2020 Maruti S PRESSO,"28,297 KM
1ST OWNER
PETROL
KA-03",VXI (O) AMTAutomatic,"₹4,82,000
₹5,41,000","Bellahalli, Bengaluru"
26,2014 Hyundai i20,"77,526 KM
1ST OWNER
PETROL
KA-04",ASTA 1.2Manual,"₹5,02,000
₹5,35,000","Bellahalli, Bengaluru"
27,2017 Maruti Baleno,"56,997 KM
1ST OWNER
PETROL
KA-03",ZETA PETROL 1.2Manual,"₹6,91,000
₹7,12,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
28,2014 Hyundai Grand i10,"82,149 KM
2ND OWNER
PETROL
KA-05",ASTA 1.2 KAPPA VTVTManual,"₹3,93,000
₹4,22,000","Bellahalli, Bengaluru"
29,2018 Tata Tiago,"49,325 KM
1ST OWNER
PETROL
KA-04",XZ PETROLManual,"₹5,21,000
₹5,72,000","Bellahalli, Bengaluru"
30,2015 Hyundai Grand i10,"51,618 KM
1ST OWNER
PETROL
KA-53",SPORTZ 1.2 KAPPA VTVTManual,"₹4,60,000
₹5,34,000","Bellahalli, Bengaluru"
31,2022 Maruti S PRESSO,"8,212 KM
1ST OWNER
PETROL
KA-19",VXI+Manual,"₹5,60,000
₹6,10,000","Bellahalli, Bengaluru"
32,2011 Maruti Alto K10,"58,883 KM
3RD OWNER
PETROL
KA-05",VXIManual,"₹2,21,000
₹2,32,000","GT World Mall, Bengaluru"
33,2019 Hyundai Grand i10,"55,168 KM
1ST OWNER
PETROL
KA-14",SPORTZ 1.2 KAPPA VTVTManual,"₹5,72,000
₹6,32,000","Bellahalli, Bengaluru"
34,2012 Maruti Swift,"58,556 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹4,84,000
₹5,03,000","Bellahalli, Bengaluru"
35,2018 Tata Tiago,"36,692 KM
2ND OWNER
PETROL
KA-41",XZ PETROLManual,"₹4,86,000
₹5,26,000",Sonnappanahalli
36,2016 Hyundai Grand i10,"49,408 KM
1ST OWNER
PETROL
KA-51",SPORTZ 1.2 KAPPA VTVTManual,"₹4,82,000
₹5,24,000","Hosur Road, Singasandra, Bengaluru"
37,2016 Renault Kwid,"53,574 KM
2ND OWNER
PETROL
KA-16",RXT 0.8 (O)Manual,"₹3,18,000
₹3,42,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
38,2016 Hyundai i10,"28,023 KM
1ST OWNER
PETROL
KA-05",MAGNA 1.1Manual,"₹4,00,000
₹4,81,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
39,2018 Hyundai Grand i10,"28,012 KM
1ST OWNER
PETROL
KA-51",SPORTZ AT 1.2 KAPPA VTVTAutomatic,"₹6,38,000
₹6,78,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
40,2017 Tata Tiago,"69,734 KM
1ST OWNER
PETROL
KA-19",XT PETROLManual,"₹4,35,000
₹4,92,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
41,2017 Datsun Redi Go,"46,031 KM
1ST OWNER
PETROL
KA-05",T(O) 1.0Manual,"₹2,78,000
₹3,35,000","Hosur Road, Singasandra, Bengaluru"
42,2018 Maruti Alto K10,"89,919 KM
1ST OWNER
PETROL
KA-04",VXIManual,"₹2,96,000
₹3,46,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
43,2014 Maruti Wagon R 1.0,"92,739 KM
2ND OWNER
PETROL
KA-05",VXIManual,"₹3,02,000
₹3,41,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
44,2016 Hyundai Grand i10,"29,236 KM
1ST OWNER
PETROL
KA-03",SPORTZ 1.2 KAPPA VTVTManual,"₹5,00,000
₹5,44,000","Bellahalli, Bengaluru"
45,2019 Hyundai Elite i20,"30,984 KM
1ST OWNER
PETROL
KA-05",ASTA 1.2 (O)Manual,"₹7,62,000
₹8,23,000","Hosur Road, Singasandra, Bengaluru"
46,2015 Hyundai Grand i10,"45,463 KM
1ST OWNER
PETROL
KA-05",ASTA AT 1.2 KAPPA VTVTAutomatic,"₹5,55,000
₹5,92,000","Bellahalli, Bengaluru"
47,2018 Hyundai Elite i20,"72,131 KM
1ST OWNER
DIESEL
KA-04",ASTA 1.4 CRDIManual,"₹7,05,000
₹7,94,000","Horamavu Agara Road, Bengaluru"
48,2011 Maruti Ritz,"1,24,712 KM
1ST OWNER
DIESEL
KA-53",VDIManual,"₹3,43,400
₹3,98,000","Bellahalli, Bengaluru"
49,2018 Renault Kwid,"37,418 KM
2ND OWNER
PETROL
KA-53",CLIMBER 1.0Manual,"₹3,80,000
₹4,02,000",Sonnappanahalli
50,2017 Hyundai Elite i20,"41,003 KM
1ST OWNER
PETROL
KA-02",ASTA 1.2Manual,"₹6,41,000
₹7,62,000","Bellahalli, Bengaluru"
51,2017 Hyundai Elite i20,"63,072 KM
3RD OWNER
PETROL
KA-51",SPORTZ 1.2Manual,"₹5,79,000
₹6,34,000","Bellahalli, Bengaluru"
52,2019 Maruti New Wagon-R,"28,454 KM
2ND OWNER
PETROL
KA-65",VXI 1.0Manual,"₹5,01,000
₹5,45,000","Bellahalli, Bengaluru"
53,2021 Maruti Alto,"22,112 KM
1ST OWNER
PETROL
KA-07",VXIManual,"₹3,93,000
₹4,59,000","Bellahalli, Bengaluru"
54,2015 Honda Brio,"76,911 KM
2ND OWNER
PETROL
KA-02",VX MTManual,"₹3,45,000
₹4,10,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
55,2014 Hyundai i20,"39,078 KM
1ST OWNER
PETROL
KA-53",SPORTZ 1.2Manual,"₹4,88,000
₹5,50,000","Bellahalli, Bengaluru"
56,2021 Renault Kiger,"12,233 KM
1ST OWNER
PETROL
KA-04",RXZ 1.0 MTManual,"₹7,70,000
₹9,03,000","Hosur Road, Singasandra, Bengaluru"
57,2016 Honda Brio,"29,457 KM
2ND OWNER
PETROL
KA-53",S MTManual,"₹4,33,000
₹4,95,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
58,2018 Tata Tiago,"38,272 KM
2ND OWNER
PETROL
KA-51",XZ PETROLManual,"₹4,73,000
₹5,29,000","Bellahalli, Bengaluru"
59,2016 Hyundai Elite i20,"84,407 KM
2ND OWNER
PETROL
KA-05",ASTA 1.2 (O)Manual,"₹6,03,000
₹6,70,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
60,2021 Hyundai NEW I20,"17,929 KM
1ST OWNER
PETROL
KA-05",MAGNA 1.2 MTManual,"₹7,11,000
₹7,52,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
61,2015 Hyundai Grand i10,"33,499 KM
3RD OWNER
PETROL
KA-04",SPORTZ 1.2 KAPPA VTVTManual,"₹4,11,000
₹4,55,000","GT World Mall, Bengaluru"
62,2016 Hyundai i10,"98,602 KM
2ND OWNER
PETROL
KA-64",SPORTZ 1.1Manual,"₹3,49,000
₹3,76,000","GT World Mall, Bengaluru"
63,2018 Datsun Redi Go,"30,685 KM
2ND OWNER
PETROL
KA-51",SManual,"₹3,03,000
₹3,36,000","Horamavu Agara Road, Bengaluru"
64,2018 Hyundai Elite i20,"36,043 KM
2ND OWNER
PETROL
KA-53",ASTA 1.2Manual,"₹6,71,000
₹7,62,000","Hosur Road, Singasandra, Bengaluru"
65,2019 Hyundai Elite i20,"65,944 KM
2ND OWNER
PETROL
KA-20",SPORTZ PLUS 1.2Manual,"₹6,25,000
₹6,71,000","Bellahalli, Bengaluru"
66,2014 Maruti Swift,"1,00,015 KM
1ST OWNER
DIESEL
KA-25",VDIManual,"₹4,97,000
₹5,21,000","Bellahalli, Bengaluru"
67,2013 Hyundai i20,"21,644 KM
2ND OWNER
PETROL
KA-05",ASTA 1.2Manual,"₹4,62,000
₹4,93,000","Bellahalli, Bengaluru"
68,2019 Hyundai Elite i20,"30,407 KM
1ST OWNER
PETROL
KA-05",ASTA (O) CVTAutomatic,"₹7,89,000
₹8,52,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
69,2017 Hyundai Elite i20,"29,591 KM
1ST OWNER
PETROL
KA-41",ASTA 1.2Manual,"₹6,74,000
₹7,59,000","GT World Mall, Bengaluru"
70,2016 Maruti Baleno,"63,328 KM
1ST OWNER
PETROL
KA-01",DELTA CVT PETROL 1.2Automatic,"₹5,68,000
₹6,64,000","Bellahalli, Bengaluru"
71,2016 Maruti Wagon R 1.0,"80,190 KM
1ST OWNER
PETROL
KA-53",VXI OPTManual,"₹4,06,000
₹4,65,000","Hosur Road, Singasandra, Bengaluru"
72,2021 Renault Kwid,"41,968 KM
1ST OWNER
PETROL
KA-50",1.0 CLIMBER OPTManual,"₹4,74,000
₹5,30,000","Bellahalli, Bengaluru"
73,2017 Maruti Celerio,"30,848 KM
2ND OWNER
PETROL
KA-01",ZXI AMTAutomatic,"₹4,86,000
₹5,41,000","Bellahalli, Bengaluru"
74,2016 Hyundai i20 Active,"68,672 KM
2ND OWNER
PETROL
KA-53",1.2 SManual,"₹5,77,000
₹6,54,000","Bellahalli, Bengaluru"
75,2010 Honda Jazz,"90,448 KM
2ND OWNER
PETROL
KA-51",1.2 BASE I VTECManual,"₹3,13,000
₹3,57,000","Bellahalli, Bengaluru"
76,2017 Honda Brio,"39,220 KM
1ST OWNER
PETROL
KA-03",VX ATAutomatic,"₹5,37,000
₹6,20,000","GT World Mall, Bengaluru"
77,2016 Hyundai Eon,"30,906 KM
3RD OWNER
PETROL
KA-53",MAGNA +Manual,"₹3,10,000
₹3,39,000","Bellahalli, Bengaluru"
78,2016 Hyundai Eon,"8,187 KM
2ND OWNER
PETROL
KA-41",MAGNA + AIRBAGManual,"₹3,52,000
₹3,70,000","Bellahalli, Bengaluru"
79,2017 Maruti Wagon R 1.0,"15,993 KM
1ST OWNER
PETROL
KA-04",VXIManual,"₹4,43,000
₹4,63,000",Sonnappanahalli
80,2017 Hyundai Eon,"79,683 KM
1ST OWNER
PETROL
KA-19",ERA +Manual,"₹3,08,000
₹3,33,000","Bellahalli, Bengaluru"
81,2015 Hyundai i10,"80,427 KM
2ND OWNER
PETROL
KA-05",SPORTZ 1.1Manual,"₹3,38,000
₹3,65,000","Horamavu Agara Road, Bengaluru"
82,2017 Renault Kwid,"16,808 KM
1ST OWNER
PETROL
KA-51",RXT 0.8Manual,"₹3,86,000","GT World Mall, Bengaluru"
83,2017 Maruti Wagon R 1.0,"14,524 KM
1ST OWNER
PETROL
KA-53",VXIManual,"₹4,24,000
₹4,61,000","Bellahalli, Bengaluru"
84,2021 Renault Kwid,"12,041 KM
1ST OWNER
PETROL
KA-05",RXLManual,"₹4,49,000
₹4,70,000",Sonnappanahalli
85,2014 Hyundai Grand i10,"41,120 KM
1ST OWNER
PETROL
UP-16",SPORTZ 1.2 KAPPA VTVTManual,"₹4,20,000
₹4,73,000","Bellahalli, Bengaluru"
86,2016 Hyundai Grand i10,"26,923 KM
1ST OWNER
PETROL
KA-03",ASTA 1.2 KAPPA VTVTManual,"₹5,00,000
₹5,71,000","Horamavu Agara Road, Bengaluru"
87,2021 Hyundai GRAND I10 NIOS,"7,266 KM
1ST OWNER
PETROL
KA-16",MAGNA 1.2 KAPPA VTVTManual,"₹6,39,000
₹6,64,000","Bellahalli, Bengaluru"
88,2016 Hyundai i10,"31,355 KM
3RD OWNER
PETROL
KA-53",SPORTZ 1.1Manual,"₹3,76,000
₹4,12,000","Bellahalli, Bengaluru"
89,2014 Hyundai Eon,"29,940 KM
1ST OWNER
PETROL
KA-03",MAGNA +Manual,"₹3,04,000
₹3,34,000",Sonnappanahalli
90,2018 Hyundai Elite i20,"70,601 KM
1ST OWNER
PETROL
KA-41",ASTA 1.2 CVTAutomatic,"₹6,59,200
₹7,70,000","GT World Mall, Bengaluru"
91,2016 Hyundai Elite i20,"90,213 KM
2ND OWNER
PETROL
KA-05",ASTA 1.2Manual,"₹5,62,000
₹6,49,000","Horamavu Agara Road, Bengaluru"
92,2010 Maruti Ritz,"73,340 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹3,21,000
₹3,47,000","Horamavu Agara Road, Bengaluru"
93,2017 Nissan Micra,"46,468 KM
3RD OWNER
PETROL
KA-01",XV CVTAutomatic,"₹4,38,000
₹5,31,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
94,2017 Hyundai Elite i20,"97,212 KM
3RD OWNER
PETROL
KA-19",SPORTZ 1.2Manual,"₹5,49,000
₹6,31,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
95,2021 Maruti Swift,"48,148 KM
1ST OWNER
PETROL
KA-02",ZXI PLUSManual,"₹7,82,000
₹8,54,000",Sonnappanahalli
96,2016 Hyundai i10,"35,851 KM
1ST OWNER
PETROL
KA-42",MAGNA 1.1Manual,"₹3,91,000
₹4,15,000","Bellahalli, Bengaluru"
97,2020 Hyundai GRAND I10 NIOS,"15,361 KM
2ND OWNER
PETROL
KA-02",ASTA 1.2 KAPPA VTVTManual,"₹7,01,000
₹7,57,000","Bellahalli, Bengaluru"
98,2010 Hyundai i10,"75,774 KM
1ST OWNER
PETROL
KA-05",SPORTZ 1.2Manual,"₹2,75,000
₹2,88,000","Hosur Road, Singasandra, Bengaluru"
99,2017 Hyundai Elite i20,"51,181 KM
1ST OWNER
PETROL
KA-51",ASTA 1.2Manual,"₹6,31,000
₹7,29,000","GT World Mall, Bengaluru"
100,2015 Maruti Wagon R 1.0,"48,394 KM
1ST OWNER
PETROL
KA-55",VXIManual,"₹3,81,000
₹4,36,000","Bellahalli, Bengaluru"
101,2012 Maruti A Star,"86,380 KM
2ND OWNER
PETROL
KA-03",VXI (ABS) ATAutomatic,"₹2,99,000
₹3,30,000","Bellahalli, Bengaluru"
102,2012 Hyundai i10,"1,05,745 KM
1ST OWNER
PETROL
KA-05",MAGNA 1.2Manual,"₹2,78,000
₹3,01,000","Bellahalli, Bengaluru"
103,2017 Hyundai Elite i20,"48,285 KM
1ST OWNER
PETROL
KA-51",SPORTZ 1.2Manual,"₹6,58,000
₹7,06,000","Bellahalli, Bengaluru"
104,2015 Maruti Swift,"69,216 KM
2ND OWNER
PETROL
KA-53",VXIManual,"₹4,78,000
₹5,35,000","GT World Mall, Bengaluru"
105,2015 Maruti Alto 800,"24,320 KM
3RD OWNER
PETROL
KA-05",LXIManual,"₹2,87,000
₹3,09,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
106,2014 Maruti Swift,"52,568 KM
1ST OWNER
PETROL
KA-03",VXIManual,"₹4,86,000
₹5,50,000","GT World Mall, Bengaluru"
107,2017 Hyundai Elite i20,"44,843 KM
1ST OWNER
PETROL
KA-05",ASTA 1.2Manual,"₹6,46,000
₹7,54,000","Bellahalli, Bengaluru"
108,2016 Hyundai Elite i20,"75,268 KM
1ST OWNER
PETROL
KA-20",MAGNA 1.2Manual,"₹5,42,000
₹6,09,000","Bellahalli, Bengaluru"
109,2017 Renault Kwid,"10,254 KM
1ST OWNER
PETROL
KA-03",RXT 1.0Manual,"₹3,86,000
₹4,11,000","Hosur Road, Singasandra, Bengaluru"
110,2018 Hyundai Elite i20,"29,246 KM
1ST OWNER
PETROL
KA-53",MAGNA EXECUTIVE CVTAutomatic,"₹7,06,000
₹7,49,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
111,2017 Maruti Baleno,"52,659 KM
1ST OWNER
PETROL
KA-03",ZETA CVT PETROL 1.2Automatic,"₹6,37,000
₹6,96,000","GT World Mall, Bengaluru"
112,2022 Maruti Swift,"8,857 KM
2ND OWNER
PETROL
KA-19",VXIManual,"₹7,19,000
₹7,77,000","GT World Mall, Bengaluru"
113,2020 Maruti Celerio,"27,528 KM
1ST OWNER
PETROL
KA-11",ZXIManual,"₹5,23,000
₹5,49,000","Bellahalli, Bengaluru"
114,2021 Renault Kwid,"14,365 KM
2ND OWNER
PETROL
KA-59",NEOTECH RXL 1.0 AMTAutomatic,"₹5,09,000
₹5,24,000","GT World Mall, Bengaluru"
115,2013 Honda Brio,"66,488 KM
3RD OWNER
PETROL
KA-01",V MTManual,"₹3,02,000
₹3,13,000","Horamavu Agara Road, Bengaluru"
116,2018 Hyundai Grand i10,"17,026 KM
2ND OWNER
PETROL
KA-05",SPORTZ AT 1.2 KAPPA VTVTAutomatic,"₹6,16,000
₹6,55,000","Hosur Road, Singasandra, Bengaluru"
117,2017 Honda Brio,"42,509 KM
2ND OWNER
PETROL
KA-05",VX ATAutomatic,"₹5,24,000
₹6,03,000","Hosur Road, Singasandra, Bengaluru"
118,2019 Hyundai GRAND I10 NIOS,"23,415 KM
1ST OWNER
PETROL
KA-51",SPORTZ AMT 1.2 KAPPA VTVTAutomatic,"₹7,01,000
₹7,66,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
119,2019 Maruti Baleno,"81,881 KM
1ST OWNER
PETROL
KA-13",ALPHA CVT PETROL 1.2Automatic,"₹6,89,000
₹7,53,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
120,2020 Tata ALTROZ,"58,107 KM
1ST OWNER
DIESEL
KA-25",XZ DIESELManual,"₹7,86,000
₹8,58,000","Bellahalli, Bengaluru"
121,2017 Hyundai i20 Active,"32,345 KM
2ND OWNER
PETROL
KA-53",1.2 SXManual,"₹6,59,000
₹7,43,000","Hosur Road, Singasandra, Bengaluru"
122,2013 Maruti Swift,"57,779 KM
1ST OWNER
PETROL
KA-41",LXIManual,"₹4,29,000
₹4,65,000","Hosur Road, Singasandra, Bengaluru"
123,2021 Toyota Glanza,"13,877 KM
1ST OWNER
PETROL
KA-03",GManual,"₹7,87,000
₹8,25,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
124,2019 Maruti IGNIS,"11,483 KM
2ND OWNER
PETROL
KA-05",ALPHA 1.2 AMTAutomatic,"₹6,57,000
₹7,10,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
125,2020 Maruti IGNIS,"56,218 KM
1ST OWNER
PETROL
KA-51",ZETA 1.2Manual,"₹5,86,000
₹6,53,000","Bellahalli, Bengaluru"
126,2016 Hyundai Grand i10,"65,532 KM
2ND OWNER
PETROL
KA-03",SPORTZ 1.2 KAPPA VTVTManual,"₹4,06,000
₹4,65,000","Bellahalli, Bengaluru"
127,2015 Hyundai Grand i10,"25,452 KM
1ST OWNER
PETROL
KA-02",SPORTZ 1.2 KAPPA VTVTManual,"₹4,75,000
₹5,86,000","Bellahalli, Bengaluru"
128,2015 Maruti Alto 800,"62,554 KM
1ST OWNER
PETROL
KA-50",LXIManual,"₹2,72,000
₹3,28,000","Hosur Road, Singasandra, Bengaluru"
129,2018 Maruti Swift,"29,767 KM
1ST OWNER
PETROL
KA-02",ZXIManual,"₹6,80,000
₹7,18,000","GT World Mall, Bengaluru"
130,2018 Hyundai Grand i10,"24,678 KM
1ST OWNER
PETROL
KA-03",SPORTZ 1.2 KAPPA VTVT DUAL TONEManual,"₹5,67,000
₹6,05,000","Bellahalli, Bengaluru"
131,2015 Maruti Swift,"77,646 KM
1ST OWNER
PETROL
KA-04",VXIManual,"₹4,89,000
₹5,76,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
132,2017 Renault Kwid,"24,810 KM
2ND OWNER
PETROL
KA-05",RXL 1.0Manual,"₹3,58,000
₹3,76,000","Horamavu Agara Road, Bengaluru"
133,2018 Tata Tiago,"23,006 KM
1ST OWNER
PETROL
KA-03",XZ PETROLManual,"₹5,27,000
₹5,63,000","Hosur Road, Singasandra, Bengaluru"
134,2016 Maruti Alto K10,"67,133 KM
1ST OWNER
PETROL
KA-05",VXI AMTAutomatic,"₹3,66,000
₹3,86,000","Horamavu Agara Road, Bengaluru"
135,2012 Maruti Alto,"1,00,100 KM
1ST OWNER
PETROL
KA-05",LXIManual,"₹2,26,000
₹2,66,000","Horamavu Agara Road, Bengaluru"
136,2012 Maruti Wagon R 1.0,"75,761 KM
2ND OWNER
PETROL
KA-51",VXIManual,"₹2,91,000
₹3,14,000","Bellahalli, Bengaluru"
137,2012 Hyundai i10,"51,584 KM
3RD OWNER
PETROL
KA-03",SPORTZ 1.2 ATAutomatic,"₹3,40,000
₹3,62,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
138,2015 Maruti Swift,"63,231 KM
2ND OWNER
PETROL
KA-01",VXIManual,"₹4,82,000
₹5,37,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
139,2016 Hyundai Grand i10,"22,977 KM
1ST OWNER
PETROL
KA-51",MAGNA 1.2 KAPPA VTVTManual,"₹4,84,000
₹5,49,000","Bellahalli, Bengaluru"
140,2020 Tata ALTROZ,"40,742 KM
1ST OWNER
PETROL
KA-02",XZ PETROLManual,"₹7,45,000
₹8,25,000","Hosur Road, Singasandra, Bengaluru"
141,2017 Maruti Baleno,"41,500 KM
2ND OWNER
PETROL
KA-05",ALPHA CVT PETROL 1.2Automatic,"₹6,72,000
₹8,11,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
142,2019 Maruti Celerio,"9,067 KM
2ND OWNER
PETROL
KA-25",VXIManual,"₹4,79,000
₹5,07,000","Bellahalli, Bengaluru"
143,2021 Hyundai NEW SANTRO,"41,054 KM
1ST OWNER
CNG
KA-51",SPORTZ EXECUTIVE MT CNGManual,"₹5,66,000
₹6,38,000","Bellahalli, Bengaluru"
144,2016 Maruti Alto 800,"44,110 KM
2ND OWNER
PETROL
KA-04",LXIManual,"₹2,95,000
₹3,24,000","Bellahalli, Bengaluru"
145,2018 Maruti Swift,"8,506 KM
2ND OWNER
PETROL
KA-09",ZXI PLUS AMTAutomatic,"₹6,62,000
₹7,00,000","Hosur Road, Singasandra, Bengaluru"
146,2014 Hyundai i20,"66,491 KM
2ND OWNER
PETROL
KA-03",ASTA 1.2Manual,"₹4,68,000
₹5,06,000","Horamavu Agara Road, Bengaluru"
147,2012 Hyundai i10,"31,474 KM
1ST OWNER
PETROL
KA-50",SPORTZ 1.2 ATAutomatic,"₹3,77,000
₹4,28,000","Hosur Road, Singasandra, Bengaluru"
148,2016 Honda Jazz,"44,154 KM
2ND OWNER
PETROL
KA-03",1.2L I-VTEC V ATAutomatic,"₹5,48,000
₹5,81,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
149,2019 Toyota Glanza,"29,335 KM
2ND OWNER
PETROL
KA-02",V CVTAutomatic,"₹7,86,000
₹8,40,000","Bellahalli, Bengaluru"
150,2019 Hyundai GRAND I10 NIOS,"33,786 KM
1ST OWNER
PETROL
KA-53",SPORTZ 1.2 KAPPA VTVTManual,"₹6,39,000
₹6,83,000","Bellahalli, Bengaluru"
151,2018 Hyundai Elite i20,"36,283 KM
1ST OWNER
DIESEL
KA-04",ASTA 1.4 CRDI DUAL TONEManual,"₹8,21,000
₹9,20,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
152,2016 Hyundai Grand i10,"53,814 KM
1ST OWNER
PETROL
KA-02",ASTA (O) 1.2 KAPPA VTVTManual,"₹4,93,000
₹5,77,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
153,2014 Hyundai Grand i10,"38,783 KM
1ST OWNER
PETROL
KA-03",SPORTZ 1.2 KAPPA VTVTManual,"₹4,43,000
₹4,94,000","Bellahalli, Bengaluru"
154,2019 Maruti Alto,"3,315 KM
2ND OWNER
PETROL
KA-51",VXIManual,"₹3,80,000
₹4,26,000","Bellahalli, Bengaluru"
